sub,eye,measure,window,peak,compare,cond,value
sub012,closed,visual power,1000pre,sensor,rt,fast,0.0140009045298133
sub012,closed,visual power,1000pre,sensor,rt,slow,-0.0511258929125157
sub012,closed,laterilsation index,1000pre,sensor,accuracy_e,correct_e,-0.114642001003668
sub012,closed,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,-0.182479119914033
sub012,closed,laterilsation index,1000pre,sensor,rt,fast,0.0654082538326507
sub012,closed,laterilsation index,1000pre,sensor,rt,slow,0.0133987814041242
sub012,closed,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.846988264485079
sub012,closed,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.858115683653251
sub012,closed,somatovisual balance,1000pre,sensor,rt,fast,0.879819179425191
sub012,closed,somatovisual balance,1000pre,sensor,rt,slow,0.872461723638697
sub017,open,visual power,1000pre,sensor,accuracy_e,correct_e,0.626127396941342
sub017,open,visual power,1000pre,sensor,accuracy_e,incorrect_e,2.11058554485832
sub017,open,visual power,1000pre,sensor,rt,fast,1.25017773518169
sub017,open,visual power,1000pre,sensor,rt,slow,0.721624290819228
sub017,open,laterilsation index,1000pre,sensor,accuracy_e,correct_e,0.00738692021072501
sub017,open,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,0.0451272847877185
sub017,open,laterilsation index,1000pre,sensor,rt,fast,-0.0125211515379842
sub017,open,laterilsation index,1000pre,sensor,rt,slow,0.0312911672655596
sub017,open,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.521343111699868
sub017,open,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.56117559000867
sub017,open,somatovisual balance,1000pre,sensor,rt,fast,0.553115700271155
sub017,open,somatovisual balance,1000pre,sensor,rt,slow,0.546305575127595
sub017,closed,visual power,1000pre,sensor,accuracy_e,correct_e,-0.0338605692424545
sub017,closed,visual power,1000pre,sensor,accuracy_e,incorrect_e,-0.327416481894774
sub017,closed,visual power,1000pre,sensor,rt,fast,-0.128983435481272
sub017,closed,visual power,1000pre,sensor,rt,slow,-0.190967314633798
sub017,closed,laterilsation index,1000pre,sensor,accuracy_e,correct_e,0.221027976980636
sub017,closed,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,0.162352574424404
sub017,closed,laterilsation index,1000pre,sensor,rt,fast,0.0478507131233609
sub017,closed,laterilsation index,1000pre,sensor,rt,slow,-0.0199173281737912
sub017,closed,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.70905996779974
sub017,closed,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.655772193005998
sub017,closed,somatovisual balance,1000pre,sensor,rt,fast,0.637683223930653
sub017,closed,somatovisual balance,1000pre,sensor,rt,slow,0.598116862271534
sub018,open,visual power,1000pre,sensor,accuracy_e,correct_e,0.0591699748774047
sub018,open,visual power,1000pre,sensor,accuracy_e,incorrect_e,0.170209474352775
sub018,open,visual power,1000pre,sensor,rt,fast,0.188934067881584
sub018,open,visual power,1000pre,sensor,rt,slow,0.120286826292464
sub018,open,laterilsation index,1000pre,sensor,accuracy_e,correct_e,0.0976305091321434
sub018,open,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,0.106602951973897
sub018,open,laterilsation index,1000pre,sensor,rt,fast,0.164528611045766
sub018,open,laterilsation index,1000pre,sensor,rt,slow,0.0370744861294544
sub018,open,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.452348210103279
sub018,open,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.435651022891718
sub018,open,somatovisual balance,1000pre,sensor,rt,fast,0.434126330699346
sub018,open,somatovisual balance,1000pre,sensor,rt,slow,0.406025518334165
sub018,closed,visual power,1000pre,sensor,accuracy_e,correct_e,0.0153988774784079
sub018,closed,visual power,1000pre,sensor,accuracy_e,incorrect_e,-0.124240664370733
sub018,closed,visual power,1000pre,sensor,rt,fast,-0.0250974189295551
sub018,closed,visual power,1000pre,sensor,rt,slow,-0.0499368849632897
sub018,closed,laterilsation index,1000pre,sensor,accuracy_e,correct_e,-0.0619781582579802
sub018,closed,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,-0.00512811094284096
sub018,closed,laterilsation index,1000pre,sensor,rt,fast,-0.0423213435938003
sub018,closed,laterilsation index,1000pre,sensor,rt,slow,-0.0291458989439769
sub018,closed,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.0456116459754795
sub018,closed,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.0881293165926443
sub018,closed,somatovisual balance,1000pre,sensor,rt,fast,0.0463701678779151
sub018,closed,somatovisual balance,1000pre,sensor,rt,slow,0.0620320409805453
sub020,open,visual power,1000pre,sensor,accuracy_e,correct_e,0.211247559831092
sub020,open,visual power,1000pre,sensor,accuracy_e,incorrect_e,0.15987527223416
sub020,open,visual power,1000pre,sensor,rt,fast,0.18524406097642
sub020,open,visual power,1000pre,sensor,rt,slow,0.392485953308156
sub020,open,laterilsation index,1000pre,sensor,accuracy_e,correct_e,0.326714219809341
sub020,open,laterilsation index,1000pre,sensor,accuracy_e,incorrect_e,0.247249065112139
sub020,open,laterilsation index,1000pre,sensor,rt,fast,0.236052707683556
sub020,open,laterilsation index,1000pre,sensor,rt,slow,0.24859769258591
sub020,open,somatovisual balance,1000pre,sensor,accuracy_e,correct_e,0.772017129025049
sub020,open,somatovisual balance,1000pre,sensor,accuracy_e,incorrect_e,0.748676541674301
sub020,open,somatovisual balance,1000pre,sensor,rt,fast,0.754918683622307
sub020,open,somatovisual balance,1000pre,sensor,rt,slow,0.730026126684577
