sub,eye,measure,bin,bin_n,pow,perc,rt
sub005,open,absolute,b1,1,1.15560676475718e-27,0.654545454545455,0.610530303030303
sub005,open,absolute,b2,2,1.88771495328047e-27,0.545454545454545,0.641772727272727
sub005,open,absolute,b3,3,2.7290434346033e-27,0.654545454545455,0.62710606060606
sub005,open,absolute,b4,4,3.97365863146744e-27,0.618181818181818,0.57080303030303
sub005,open,absolute,b5,5,6.97902221893874e-27,0.636363636363636,0.548727272727273
sub005,closed,absolute,b1,1,4.14601499683882e-27,0.519230769230769,0.62863782051282
sub005,closed,absolute,b2,2,8.42183962646431e-27,0.519230769230769,0.589679487179487
sub005,closed,absolute,b3,3,1.1797434239226e-26,0.576923076923077,0.588060897435897
sub005,closed,absolute,b4,4,1.50173932713834e-26,0.730769230769231,0.605304487179487
sub005,closed,absolute,b5,5,2.31082139387329e-26,0.653846153846154,0.603830128205128
sub005,open,relative,b1,1,-0.545399503425677,0.618181818181818,0.608560606060606
sub005,open,relative,b2,2,-0.141619276059989,0.618181818181818,0.604924242424242
sub005,open,relative,b3,3,0.31379783913442,0.6,0.627651515151515
sub005,open,relative,b4,4,1.18718109611167,0.709090909090909,0.598863636363636
sub005,open,relative,b5,5,4.44255089353863,0.563636363636364,0.558166666666667
sub005,closed,relative,b1,1,-0.720260061737923,0.519230769230769,0.59625
sub005,closed,relative,b2,2,-0.46688386876739,0.519230769230769,0.61213141025641
sub005,closed,relative,b3,3,-0.192967446299355,0.730769230769231,0.602163461538462
sub005,closed,relative,b4,4,0.261921536385289,0.653846153846154,0.616602564102564
sub005,closed,relative,b5,5,2.23079070341317,0.576923076923077,0.588365384615385
sub005,open,lat,b1,1,-0.395790048543477,0.727272727272727,0.620136363636364
