suj,sample_size,perc_trials,bin,itc
10sub014,n=10,030 %,b1,0.104951670766978
10sub014,n=10,030 %,b2,0.108533610219902
10sub014,n=10,030 %,b3,0.111760255018206
10sub014,n=10,030 %,b4,0.111830208839554
10sub014,n=10,030 %,b5,0.105809337685421
10sub022,n=10,030 %,b1,0.126154243056563
10sub022,n=10,030 %,b2,0.12875033285614
10sub022,n=10,030 %,b3,0.126868029222701
10sub022,n=10,030 %,b4,0.121984262979526
10sub022,n=10,030 %,b5,0.120678227115543
10sub019,n=10,030 %,b1,0.104503374616629
10sub019,n=10,030 %,b2,0.105352583620677
10sub019,n=10,030 %,b3,0.10293609705631
10sub019,n=10,030 %,b4,0.103880440073497
10sub019,n=10,030 %,b5,0.101517099987207
10sub015,n=10,030 %,b1,0.0959096887172094
10sub015,n=10,030 %,b2,0.0904098061268859
10sub015,n=10,030 %,b3,0.102462713652248
10sub015,n=10,030 %,b4,0.0914834040912718
10sub015,n=10,030 %,b5,0.0969599268932614
10sub021,n=10,040 %,b1,0.0775334412973992
10sub021,n=10,040 %,b2,0.0573301474482618
10sub021,n=10,040 %,b3,0.0724527068208643
10sub021,n=10,040 %,b4,0.0659136270390096
10sub021,n=10,040 %,b5,0.0658752201778055
10sub025,n=10,040 %,b1,0.0886375084765728
10sub025,n=10,040 %,b2,0.0913952679348413
10sub025,n=10,040 %,b3,0.0778712239839342
10sub025,n=10,040 %,b4,0.0893538596646838
10sub025,n=10,040 %,b5,0.087553924517451
10sub034,n=10,040 %,b1,0.113761376600566
10sub034,n=10,040 %,b2,0.109240423129669
10sub034,n=10,040 %,b3,0.109040985718489
10sub034,n=10,040 %,b4,0.105207395169445
10sub034,n=10,040 %,b5,0.0944749257225475
10sub035,n=10,040 %,b1,0.096911469765931
10sub035,n=10,040 %,b2,0.0887406858902173
10sub035,n=10,040 %,b3,0.0829766603663367
10sub035,n=10,040 %,b4,0.089607928660405
10sub035,n=10,040 %,b5,0.0901451610739233
10sub027,n=10,040 %,b1,0.140222399482552
10sub027,n=10,040 %,b2,0.137522809963454
10sub027,n=10,040 %,b3,0.139977195540138
10sub027,n=10,040 %,b4,0.139192480464583
10sub027,n=10,040 %,b5,0.133979826489989
10sub008,n=10,040 %,b1,0.0888118885169957
10sub008,n=10,040 %,b2,0.0820780653885991
10sub008,n=10,040 %,b3,0.083046390108353
10sub008,n=10,040 %,b4,0.0789153337822259
10sub008,n=10,040 %,b5,0.0770804844883829
10sub014,n=10,040 %,b1,0.102923331251171
10sub014,n=10,040 %,b2,0.108500104088707
10sub014,n=10,040 %,b3,0.10837930217482
10sub014,n=10,040 %,b4,0.107189349843798
10sub014,n=10,040 %,b5,0.104038429993155
10sub022,n=10,040 %,b1,0.124578800380707
10sub022,n=10,040 %,b2,0.123217072742369
10sub022,n=10,040 %,b3,0.123288853437652
10sub022,n=10,040 %,b4,0.119811142718928
10sub022,n=10,040 %,b5,0.121464993847118
10sub019,n=10,040 %,b1,0.108408045219708
10sub019,n=10,040 %,b2,0.110627752664341
10sub019,n=10,040 %,b3,0.106854143733477
10sub019,n=10,040 %,b4,0.109462759935777
10sub019,n=10,040 %,b5,0.0989664988131987
10sub015,n=10,040 %,b1,0.0956462311489032
10sub015,n=10,040 %,b2,0.0886197511843161
10sub015,n=10,040 %,b3,0.0968149926315643
10sub015,n=10,040 %,b4,0.0939330990960284
10sub015,n=10,040 %,b5,0.0938799039835683
10sub021,n=10,050 %,b1,0.073228491500545
10sub021,n=10,050 %,b2,0.0663245523672781
10sub021,n=10,050 %,b3,0.0682676071242054
10sub021,n=10,050 %,b4,0.0690010879208613
10sub021,n=10,050 %,b5,0.0641675144768687
10sub025,n=10,050 %,b1,0.0877173475865879
10sub025,n=10,050 %,b2,0.0905341043516799
10sub025,n=10,050 %,b3,0.0781959305528675
10sub025,n=10,050 %,b4,0.0855324543450897
10sub025,n=10,050 %,b5,0.0828235085468677
10sub034,n=10,050 %,b1,0.108328126178653
10sub034,n=10,050 %,b2,0.106979989663426
10sub034,n=10,050 %,b3,0.107050663419905
10sub034,n=10,050 %,b4,0.102235692166094
10sub034,n=10,050 %,b5,0.0959862939744138
10sub035,n=10,050 %,b1,0.0970069094829622
10sub035,n=10,050 %,b2,0.0900406846285338
10sub035,n=10,050 %,b3,0.0875610813114024
10sub035,n=10,050 %,b4,0.0904668238758678
10sub035,n=10,050 %,b5,0.0910679879066967
10sub027,n=10,050 %,b1,0.144262500880342
10sub027,n=10,050 %,b2,0.1432730788847
10sub027,n=10,050 %,b3,0.142232717532402
10sub027,n=10,050 %,b4,0.141255804590975
