sub,eye,bin,perc,rt
sub022,closed,b1,0.716981132075472,0.560267295597484
sub022,closed,b2,0.830188679245283,0.591477987421384
sub022,closed,b3,0.754716981132076,0.644088050314465
sub022,closed,b4,0.886792452830189,0.575880503144654
sub022,closed,b5,0.886792452830189,0.565754716981132
sub023,open,b1,0.793103448275862,0.654870689655172
sub023,open,b2,0.896551724137931,0.630497076023392
sub023,open,b3,0.827586206896552,0.688175287356322
sub023,open,b4,0.827586206896552,0.65390350877193
sub023,open,b5,0.913793103448276,0.621235632183908
sub023,closed,b1,0.796610169491525,0.759022988505747
sub023,closed,b2,0.88135593220339,0.733502824858757
sub023,closed,b3,0.88135593220339,0.653234463276836
sub023,closed,b4,0.830508474576271,0.7029802259887
sub023,closed,b5,0.88135593220339,0.676020114942529
sub024,open,b1,0.775862068965517,0.649367816091954
sub024,open,b2,0.827586206896552,0.631711309523809
sub024,open,b3,0.827586206896552,0.576652298850575
sub024,open,b4,0.827586206896552,0.645502873563218
sub024,open,b5,0.896551724137931,0.639137931034483
sub024,closed,b1,0.74,0.697704081632653
sub024,closed,b2,0.68,0.742881944444444
sub024,closed,b3,0.6,0.710799319727891
sub024,closed,b4,0.74,0.712118055555556
sub024,closed,b5,0.7,0.73025
sub025,open,b1,0.4375,0.854716312056738
sub025,open,b2,0.583333333333333,0.767135416666667
sub025,open,b3,0.520833333333333,0.806471631205674
sub025,open,b4,0.583333333333333,0.776944444444445
sub025,open,b5,0.645833333333333,0.808940972222222
sub025,closed,b1,0.659574468085106,0.75563829787234
sub025,closed,b2,0.531914893617021,0.870815217391304
sub025,closed,b3,0.595744680851064,0.814450354609929
sub025,closed,b4,0.702127659574468,0.876702127659574
sub025,closed,b5,0.680851063829787,0.820762411347518
sub026,open,b1,0.821428571428571,0.8296875
sub026,open,b2,0.75,0.762666666666667
sub026,open,b3,0.660714285714286,0.868240740740741
sub026,open,b4,0.732142857142857,0.785454545454545
sub026,open,b5,0.75,0.795277777777778
sub026,closed,b1,0.773584905660377,0.773116666666667
sub026,closed,b2,0.792452830188679,0.87561320754717
sub026,closed,b3,0.811320754716981,0.79062091503268
sub026,closed,b4,0.811320754716981,0.794038461538461
sub026,closed,b5,0.69811320754717,0.818066666666667
sub027,open,b1,0.709090909090909,0.765393939393939
sub027,open,b2,0.727272727272727,0.684893939393939
sub027,open,b3,0.781818181818182,0.666969696969697
sub027,open,b4,0.781818181818182,0.654575757575758
sub027,open,b5,0.745454545454545,0.710090909090909
sub027,closed,b1,0.792452830188679,0.683663522012579
sub027,closed,b2,0.716981132075472,0.691399371069182
sub027,closed,b3,0.792452830188679,0.720235849056604
sub027,closed,b4,0.641509433962264,0.733820754716981
sub027,closed,b5,0.716981132075472,0.708694968553459
