suj,win,bin,rt,corr,band,pow_alpha,pow_beta,pow_theta,pow_gamma,avg_alpha,avg_beta,avg_theta,avg_gamma,norm_alpha,norm_beta,norm_theta,norm_gamma
sub020,preGab2,b3,0.830116987228394,0.935064935064935,beta,1.43626517138099e-26,7.30617511668695e-28,1.95560646955072e-27,3.67318048499085e-29,1.32667969668366e-26,8.37775138231677e-28,1.76962981967159e-27,3.49051658193738e-29,1.08260130532733,0.872092615699764,1.10509353301565,1.052331481248
sub020,preGab2,b4,0.852602005004883,0.909090909090909,beta,1.44800019967226e-26,1.00425705862317e-27,1.92133515317649e-27,3.77987137165949e-29,1.32667969668366e-26,8.37775138231677e-28,1.76962981967159e-27,3.49051658193738e-29,1.09144671716306,1.19871909871054,1.08572715706896,1.0828974115807
sub020,preGab2,b5,0.869462966918945,0.883116883116883,beta,2.09426283083149e-26,1.62159344678872e-27,2.01689085494019e-27,3.4369634813629e-29,1.32667969668366e-26,8.37775138231677e-28,1.76962981967159e-27,3.49051658193738e-29,1.57857456933018,1.93559509322689,1.13972472237979,0.984657542997616
sub020,preGab2,b1,0.840106964111328,0.87012987012987,theta,1.00757681514304e-26,6.70770619127159e-28,6.61609483781854e-28,3.38372908556313e-29,1.32667969668366e-26,8.37775138231677e-28,1.76962981967159e-27,3.49051658193738e-29,0.7594725521629,0.800657107756837,0.37386886027081,0.969406391900028
sub020,preGab2,b2,0.79100489616394,0.896103896103896,theta,1.16873325615941e-26,8.51000770090683e-28,1.14602855482867e-27,3.35779743787312e-29,1.32667969668366e-26,8.37775138231677e-28,1.76962981967159e-27,3.49051658193738e-29,0.880946063379829,1.01578661296505,0.647609201703752,0.961977220004898
sub020,preGab2,b3,0.799182176589966,0.961038961038961,theta,1.35741032489477e-26,8.65733103469427e-28,1.54123486131834e-27,3.43869997848557e-29,1.32667969668366e-26,8.37775138231677e-28,1.76962981967159e-27,3.49051658193738e-29,1.02316356260515,1.03337168168628,0.870936307800448,0.98515503300573
sub020,preGab2,b4,0.868581056594849,0.974025974025974,theta,1.56176914757434e-26,8.5613301578052e-28,2.08178381595828e-27,3.37558332039248e-29,1.32667969668366e-26,8.37775138231677e-28,1.76962981967159e-27,3.49051658193738e-29,1.17720136328184,1.02191265497278,1.17639508151181,0.967072707191924
sub020,preGab2,b5,0.838264942169189,0.883116883116883,theta,1.53790893964672e-26,9.452381826906e-28,3.41749238247078e-27,3.89677308737259e-29,1.32667969668366e-26,8.37775138231677e-28,1.76962981967159e-27,3.49051658193738e-29,1.15921645857028,1.12827194261905,1.93119054871318,1.11638864789742
sub020,preGab2,b1,0.762656211853027,0.896103896103896,gamma,1.38535977282152e-26,8.14967511595087e-28,1.67933575987934e-27,2.09128442306404e-29,1.32667969668366e-26,8.37775138231677e-28,1.76962981967159e-27,3.49051658193738e-29,1.04423077875131,0.972775956702736,0.948975735609495,0.599133215377333
sub020,preGab2,b2,0.818244934082031,0.922077922077922,gamma,1.24670820731043e-26,7.80664420543875e-28,1.710894552676e-27,2.69284807313814e-29,1.32667969668366e-26,8.37775138231677e-28,1.76962981967159e-27,3.49051658193738e-29,0.939720574926162,0.931830493551828,0.966809291783699,0.771475513702759
