sub,eye,corr,rt,roi,hemi,pow
sub020,open,incorrect,all,visual,left,0.17144450196124
sub020,open,incorrect,fast,visual,right,0.497241700385072
sub020,open,incorrect,slow,visual,right,-0.0663929160572553
sub020,open,incorrect,all,visual,right,0.251068173072731
sub020,open,correct,fast,visual,left,0.111419262635665
sub020,open,correct,slow,visual,left,0.3976367543812
sub020,open,correct,all,visual,left,0.215960772371287
sub020,open,correct,fast,visual,right,0.0222373007153085
sub020,open,correct,slow,visual,right,0.091470741822008
sub020,open,correct,all,visual,right,0.0604358383274344
sub020,close,incorrect,fast,visual,left,-0.470856366327154
sub020,close,incorrect,slow,visual,left,-0.484831414942747
sub020,close,incorrect,all,visual,left,-0.476830714069999
sub020,close,incorrect,fast,visual,right,-0.107882262941512
sub020,close,incorrect,slow,visual,right,-0.423226429085157
sub020,close,incorrect,all,visual,right,-0.260517324204341
sub020,close,correct,fast,visual,left,-0.0659810545317309
sub020,close,correct,slow,visual,left,-0.230117621556143
sub020,close,correct,all,visual,left,-0.129144140643154
sub020,close,correct,fast,visual,right,0.0825449272181246
sub020,close,correct,slow,visual,right,-0.321722533748084
sub020,close,correct,all,visual,right,-0.132644697434859
sub021,open,incorrect,fast,visual,left,0.652815121609986
sub021,open,incorrect,slow,visual,left,-0.0573752148130478
sub021,open,incorrect,all,visual,left,0.242857830756716
sub021,open,incorrect,fast,visual,right,-0.0326787141404134
sub021,open,incorrect,slow,visual,right,0.993401116245154
sub021,open,incorrect,all,visual,right,0.28946869401087
sub021,open,correct,fast,visual,left,0.532523566568488
sub021,open,correct,slow,visual,left,0.144857626968342
sub021,open,correct,all,visual,left,0.309073557767133
sub021,open,correct,fast,visual,right,-0.098714217201822
sub021,open,correct,slow,visual,right,0.430480098847675
sub021,open,correct,all,visual,right,0.138703573354664
sub021,close,incorrect,fast,visual,left,0.021686460880977
sub021,close,incorrect,slow,visual,left,-0.120936569452245
sub021,close,incorrect,all,visual,left,-0.00771558007595511
sub021,close,incorrect,fast,visual,right,-0.021997655139147
sub021,close,incorrect,slow,visual,right,0.0614935459031036
sub021,close,incorrect,all,visual,right,-0.0178854870662648
sub021,close,correct,fast,visual,left,0.120047835008037
sub021,close,correct,slow,visual,left,0.0930277556927871
sub021,close,correct,all,visual,left,0.107245694144323
sub021,close,correct,fast,visual,right,-0.0575523439577272
sub021,close,correct,slow,visual,right,0.183902555171152
sub021,close,correct,all,visual,right,0.060312309874221
sub022,open,incorrect,fast,visual,left,1.25049184558748
sub022,open,incorrect,slow,visual,left,0.295787794224981
sub022,open,incorrect,all,visual,left,0.691763206722331
sub022,open,incorrect,fast,visual,right,0.885975589559813
sub022,open,incorrect,slow,visual,right,0.252341711573481
sub022,open,incorrect,all,visual,right,0.536655619251769
sub022,open,correct,fast,visual,left,0.526165189758793
sub022,open,correct,slow,visual,left,0.512056871792248
sub022,open,correct,all,visual,left,0.519086412268563
sub022,open,correct,fast,visual,right,0.480779424565928
sub022,open,correct,slow,visual,right,0.20463090087633
sub022,open,correct,all,visual,right,0.331083072830049
sub022,close,incorrect,fast,visual,left,-0.160484452491705
sub022,close,incorrect,slow,visual,left,-0.0622165303740782
