sub,eye,cue,measure,window,compare,cond,value
sub005,open,left,lat,stim500pre,accuracy_e,incorrect_e,0.183
sub005,open,left,lat,stim500pre,rt,fast,0.328
sub005,open,left,lat,stim500pre,rt,slow,0.273
sub005,open,left,bal_ip_v,stim500pre,accuracy,correct,0.398
sub005,open,left,bal_ip_v,stim500pre,accuracy,incorrect,0.469
sub005,open,left,bal_ip_v,stim500pre,accuracy_e,correct_e,0.4
sub005,open,left,bal_ip_v,stim500pre,accuracy_e,incorrect_e,0.469
sub005,open,left,bal_ip_v,stim500pre,rt,fast,0.468
sub005,open,left,bal_ip_v,stim500pre,rt,slow,0.327
sub005,open,left,bal_ip_i,stim500pre,accuracy,correct,-0.153
sub005,open,left,bal_ip_i,stim500pre,accuracy,incorrect,-0.012
sub005,open,left,bal_ip_i,stim500pre,accuracy_e,correct_e,-0.123
sub005,open,left,bal_ip_i,stim500pre,accuracy_e,incorrect_e,-0.012
sub005,open,left,bal_ip_i,stim500pre,rt,fast,-0.159
sub005,open,left,bal_ip_i,stim500pre,rt,slow,-0.147
sub005,open,right,vis,stim500pre,accuracy,correct,0.686
sub005,open,right,vis,stim500pre,accuracy,incorrect,0.387
sub005,open,right,vis,stim500pre,accuracy_e,correct_e,0.607
sub005,open,right,vis,stim500pre,accuracy_e,incorrect_e,0.387
sub005,open,right,vis,stim500pre,rt,fast,0.375
